YEAR,MONTH,MIN,MAX,MEAN
1970,1,0,388,24
1970,2,0,165,15
1970,3,0,198,48
1970,4,5,274,91
1970,5,47,510,213
1970,6,24,1339,258
1970,7,31,848,200
1970,8,48,1033,299
1970,9,46,857,265
1970,10,10,524,129
1970,11,0,1021,79
1970,12,0,704,78
1971,1,0,146,7
1971,2,0,213,25
1971,3,0,197,33
1971,4,0,173,66
1971,5,48,546,215
1971,6,26,1076,210
1971,7,23,693,200
1971,8,60,819,271
1971,9,65,463,209
1971,10,8,735,158
1971,11,0,865,61
1971,12,0,651,55
1972,1,0,93,4
1972,2,0,120,21
1972,3,0,197,40
1972,4,20,378,108
1972,5,6,254,90
1972,6,53,771,213
1972,7,19,914,176
1972,8,10,762,198
1972,9,62,740,270
1972,10,46,389,168
1972,11,1,659,117
1972,12,0,433,43
1973,1,0,109,6
1973,2,0,103,4
1973,3,0,370,55
1973,4,0,244,39
1973,5,40,364,178
1973,6,34,1065,184
1973,7,39,1089,225
1973,8,47,1210,226
1973,9,60,720,280
1973,10,4,593,117
1973,11,0,737,81
1973,12,0,1299,59
1974,1,0,169,6
1974,2,0,141,14
1974,3,0,213,48
1974,4,12,312,117
1974,5,43,376,173
1974,6,19,464,135
1974,7,40,736,172
1974,8,36,1101,274
1974,9,52,595,222
1974,10,23,779,201
1974,11,3,873,120
1974,12,0,838,47
1975,1,1,1239,113
1975,2,0,158,23
1975,3,0,145,33
1975,4,0,228,37
1975,5,88,516,217
1975,6,36,1718,209
1975,7,14,713,199
1975,8,35,1233,260
1975,9,70,578,247
1975,10,27,741,190
1975,11,0,617,86
1975,12,0,602,42
1976,1,0,155,2
1976,2,0,150,18
1976,3,0,221,34
1976,4,3,239,80
1976,5,79,1056,200
1976,6,19,523,130
1976,7,47,982,209
1976,8,44,673,243
1976,9,40,792,253
1976,10,72,461,197
1976,11,0,1498,114
1976,12,0,230,14
1977,1,0,288,28
1977,2,0,346,11
1977,3,0,154,26
1977,4,0,196,74
1977,5,29,382,152
1977,6,8,753,108
1977,7,35,882,170
1977,8,24,1004,227
1977,9,33,1123,256
1977,10,6,581,131
1977,11,0,759,64
1977,12,0,386,33
1978,1,0,263,28
1978,2,0,257,30
1978,3,0,117,24
1978,4,3,284,85
1978,5,84,452,201
1978,6,15,833,168
1978,7,51,957,286
1978,8,15,1276,233
1978,9,87,982,306
1978,10,5,366,99
1978,11,0,481,36
1978,12,0,391,25
1979,1,0,59,6
1979,2,0,82,14
1979,3,0,88,5
1979,4,3,469,94
1979,5,28,595,188
1979,6,29,1171,228
1979,7,20,1696,156
1979,8,29,799,192
1979,9,69,807,236
1979,10,0,402,54
1979,11,0,1076,51
1979,12,0,190,11
1980,1,0,40,1
1980,2,0,61,8
1980,3,1,146,31
1980,4,0,241,59
1980,5,21,423,192
1980,6,52,1053,256
1980,7,32,680,207
1980,8,41,1724,218
1980,9,55,613,289
1980,10,26,433,157
1980,11,0,942,72
1980,12,0,803,36
1981,1,0,77,2
1981,2,0,97,19
1981,3,0,101,24
1981,4,6,341,97
1981,5,64,467,208
1981,6,12,1111,184
1981,7,23,1191,240
1981,8,5,1285,193
1981,9,18,638,175
1981,10,25,355,133
1981,11,5,767,138
1981,12,0,674,40
1982,1,0,29,1
1982,2,0,124,16
1982,3,0,197,42
1982,4,2,369,94
1982,5,31,402,155
1982,6,22,845,157
1982,7,26,1088,185
1982,8,42,1157,215
1982,9,59,641,288
1982,10,26,383,129
1982,11,0,464,63
1982,12,0,550,30
1983,1,0,162,14
1983,2,0,34,3
1983,3,0,217,12
1983,4,0,179,25
1983,5,16,591,156
1983,6,27,1233,189
1983,7,38,929,187
1983,8,55,1028,296
1983,9,44,783,230
1983,10,47,1251,240
1983,11,0,439,102
1983,12,0,890,51
1984,1,0,193,15
1984,2,0,135,27
1984,3,0,199,32
1984,4,5,442,101
1984,5,25,561,161
1984,6,31,1264,191
1984,7,48,514,183
1984,8,6,909,207
1984,9,71,512,230
1984,10,36,474,156
1984,11,0,904,54
1984,12,0,870,47
1985,1,0,101,13
1985,2,0,192,21
1985,3,0,292,31
1985,4,17,384,111
1985,5,60,560,183
1985,6,18,1026,170
1985,7,50,580,170
1985,8,25,837,188
1985,9,4,644,241
1985,10,47,647,180
1985,11,0,558,96
1985,12,0,560,31
1986,1,0,131,7
1986,2,0,55,3
1986,3,0,106,10
1986,4,3,398,101
1986,5,57,907,229
1986,6,14,999,158
1986,7,22,875,163
1986,8,16,1314,233
1986,9,54,1028,213
1986,10,29,725,174
1986,11,0,1099,75
1986,12,0,294,29
1987,1,0,197,7
1987,2,0,86,10
1987,3,1,107,33
1987,4,1,220,66
1987,5,8,461,119
1987,6,18,1219,186
1987,7,1,682,115
1987,8,19,1082,263
1987,9,48,660,269
1987,10,3,511,132
1987,11,0,824,119
1987,12,0,890,49
1988,1,0,234,8
1988,2,4,76,18
1988,3,0,163,19
1988,4,26,274,113
1988,5,45,573,237
1988,6,28,1045,218
1988,7,28,1133,197
1988,8,47,660,206
1988,9,32,1157,215
1988,10,56,912,211
1988,11,0,1640,111
1988,12,0,256,12
1989,1,0,175,15
1989,2,0,138,6
1989,3,0,242,46
1989,4,0,298,54
1989,5,33,835,190
1989,6,18,773,157
1989,7,31,481,180
1989,8,30,1110,202
1989,9,57,594,187
1989,10,47,784,190
1989,11,0,441,46
1989,12,0,154,5
1990,1,0,104,9
1990,2,0,117,19
1990,3,0,183,58
1990,4,3,249,55
1990,5,24,831,229
1990,6,9,887,163
1990,7,6,868,181
1990,8,21,1481,182
1990,9,43,782,224
1990,10,47,732,215
1990,11,0,659,74
1990,12,0,318,18
1991,1,0,140,8
1991,2,0,152,6
1991,3,0,178,31
1991,4,8,325,60
1991,5,37,459,166
1991,6,11,874,148
1991,7,17,1114,162
1991,8,41,1434,287
1991,9,66,963,221
1991,10,11,539,139
1991,11,0,400,38
1991,12,0,600,44
1992,1,0,245,20
1992,2,0,125,24
1992,3,0,64,4
1992,4,0,152,29
1992,5,7,277,98
1992,6,25,798,159
1992,7,61,557,229
1992,8,56,1684,229
1992,9,19,574,201
1992,10,23,879,178
1992,11,0,528,46
1992,12,0,442,54
1993,1,0,314,15
1993,2,0,48,4
1993,3,0,248,58
1993,4,5,258,74
1993,5,24,586,169
1993,6,6,876,130
1993,7,14,820,161
1993,8,34,888,185
1993,9,15,1008,243
1993,10,0,639,126
1993,11,0,765,53
1993,12,0,885,54
1994,1,0,73,2
1994,2,0,148,24
1994,3,18,444,114
1994,4,0,321,66
1994,5,42,612,236
1994,6,64,1000,251
1994,7,4,943,170
1994,8,44,1707,280
1994,9,35,1171,250
1994,10,8,460,99
1994,11,0,1059,61
1994,12,0,213,25
1995,1,0,122,9
1995,2,0,69,8
1995,3,0,226,31
1995,4,0,268,51
1995,5,18,535,169
1995,6,7,923,172
1995,7,66,726,260
1995,8,32,1162,302
1995,9,68,866,249
1995,10,7,486,137
1995,11,0,946,99
1995,12,0,479,23
1996,1,0,176,9
1996,2,0,166,30
1996,3,0,168,35
1996,4,21,479,133
1996,5,34,387,156
1996,6,21,450,187
1996,7,39,800,162
1996,8,39,814,215
1996,9,14,1129,319
1996,10,35,607,155
1996,11,8,566,114
1996,12,0,1113,65
1997,1,0,80,3
1997,2,0,227,21
1997,3,0,205,48
1997,4,7,230,80
1997,5,19,508,120
1997,6,1,754,121
1997,7,19,2106,228
1997,8,23,1210,261
1997,9,49,698,221
1997,10,25,538,139
1997,11,0,537,50
1997,12,0,799,38
1998,1,0,110,8
1998,2,0,192,22
1998,3,0,88,19
1998,4,0,190,52
1998,5,15,500,170
1998,6,26,1010,184
1998,7,26,527,177
1998,8,48,860,217
1998,9,72,934,220
1998,10,10,868,149
1998,11,2,659,90
1998,12,0,652,43
1999,1,0,384,28
1999,2,0,617,45
1999,3,1,341,63
1999,4,31,626,168
1999,5,79,609,249
1999,6,14,762,163
1999,7,18,1609,181
1999,8,31,556,192
1999,9,72,620,226
1999,10,30,692,205
1999,11,4,750,81
1999,12,0,1159,47
2000,1,0,207,15
2000,2,0,248,38
2000,3,0,411,47
2000,4,31,370,171
2000,5,15,711,237
2000,6,43,969,222
2000,7,9,1615,182
2000,8,29,1599,242
2000,9,68,498,213
2000,10,8,771,169
2000,11,0,1398,83
2000,12,0,999,36
2001,1,0,337,27
2001,2,0,83,8
2001,3,20,570,125
2001,4,0,363,45
2001,5,40,890,228
2001,6,25,1105,184
2001,7,7,768,178
2001,8,28,1384,257
2001,9,68,685,210
2001,10,17,669,202
2001,11,0,636,48
2001,12,0,581,35
2002,1,0,78,7
2002,2,0,159,8
2002,3,0,212,43
2002,4,0,315,65
2002,5,68,752,212
2002,6,10,870,162
2002,7,20,767,159
2002,8,41,1271,270
2002,9,50,629,304
2002,10,0,427,122
2002,11,0,834,111
2002,12,0,808,63
2003,1,0,239,11
2003,2,0,143,22
2003,3,3,273,89
2003,4,0,150,51
2003,5,1,534,136
2003,6,0,489,179
2003,7,0,958,178
2003,8,28,953,211
2003,9,62,675,283
2003,10,2,794,124
2003,11,0,626,37
2003,12,0,751,37
2004,1,0,157,18
2004,2,0,180,37
2004,3,0,134,20
2004,4,0,262,70
2004,5,38,567,205
2004,6,33,820,215
2004,7,0,946,232
2004,8,0,1130,184
2004,9,1,498,229
2004,10,0,660,63
2004,11,0,600,37
2004,12,0,284,14
2005,1,0,110,7
2005,2,0,61,2
2005,3,0,294,36
2005,4,0,240,67
2005,5,25,436,142
2005,6,15,986,184
2005,7,0,1392,214
2005,8,21,866,197
2005,9,57,859,302
2005,10,11,527,128
2005,11,1,871,103
2005,12,0,1214,75
2006,1,0,210,9
2006,2,0,322,32
2006,3,1,247,61
2006,4,12,278,114
2006,5,50,654,203
2006,6,36,735,178
2006,7,18,2062,229
2006,8,24,1163,251
2006,9,53,740,240
2006,10,53,829,191
2006,11,0,418,33
2006,12,0,422,19
2007,1,0,316,16
2007,2,0,151,10
2007,3,0,164,36
2007,4,1,379,96
2007,5,84,649,268
2007,6,41,598,166
2007,7,21,1068,177
2007,8,20,759,211
2007,9,61,1113,239
2007,10,39,725,204
2007,11,0,619,44
2007,12,0,539,21
2008,1,0,456,22
2008,2,0,214,32
2008,3,0,222,40
2008,4,15,340,131
2008,5,53,1043,211
2008,6,35,738,184
2008,7,29,891,183
2008,8,12,615,194
2008,9,14,1232,285
2008,10,27,490,185
2008,11,1,1207,111
2008,12,0,1083,34
2009,1,0,477,14
2009,2,0,94,6
2009,3,5,364,79
2009,4,13,427,112
2009,5,64,662,214
2009,6,5,777,157
2009,7,28,1498,212
2009,8,33,720,199
2009,9,45,1921,239
2009,10,3,510,140
2009,11,0,924,58
2009,12,0,280,14
2010,1,0,175,38
2010,2,0,100,13
2010,3,0,158,21
2010,4,0,243,55
2010,5,18,470,111
2010,6,48,644,163
2010,7,43,657,207
2010,8,59,742,332
2010,9,87,542,231
2010,10,27,593,227
2010,11,0,1113,79
2010,12,0,816,58
2011,1,0,596,29
2011,2,0,166,16
2011,3,3,1544,147
2011,4,1,293,104
2011,5,25,546,214
2011,6,38,806,193
2011,7,56,896,244
2011,8,66,773,290
2011,9,19,1447,312
2011,10,29,627,180
2011,11,0,732,52
2011,12,0,902,43
2012,1,0,1067,69
2012,2,0,133,17
2012,3,0,334,46
2012,4,1,401,98
2012,5,32,783,223
2012,6,12,863,139
2012,7,20,857,181
2012,8,27,843,207
2012,9,52,1311,272
2012,10,8,313,98
2012,11,2,669,82
2012,12,0,1179,45
2013,1,0,312,29
2013,2,0,345,23
2013,3,0,137,30
2013,4,1,355,73
2013,5,13,559,151
2013,6,40,950,185
2013,7,38,1623,263
2013,8,53,684,207
2013,9,5,662,283
2013,10,32,603,165
2013,11,0,1051,95
2013,12,0,584,42
2014,1,0,267,4
2014,2,0,106,3
2014,3,0,159,22
2014,4,0,339,82
2014,5,14,346,128
2014,6,11,1060,186
2014,7,23,1451,227
2014,8,35,1077,232
2014,9,40,893,213
2014,10,7,524,139
2014,11,0,707,84
2014,12,0,824,53
2015,1,0,104,23
2015,2,0,104,19
2015,3,0,187,38
2015,4,7,244,68
2015,5,9,343,95
2015,6,15,859,120
2015,7,29,834,206
2015,8,14,848,197
2015,9,68,940,227
2015,10,40,470,143
2015,11,1,637,75
2015,12,0,400,36
2016,1,0,308,43
2016,2,0,102,5
2016,3,0,150,6
2016,4,0,158,36
2016,5,2,876,150
2016,6,5,904,209
2016,7,4,779,221
2016,8,2,1005,208
2016,9,6,1124,256
2016,10,6,1157,188
2016,11,2,404,75
2016,12,0,1208,73
2017,1,0,1785,109
2017,2,0,115,11
2017,3,0,313,70
2017,4,0,380,85
2017,5,81,902,276
2017,6,11,831,191
2017,7,16,977,290
2017,8,43,788,246
2017,9,48,850,211
2017,10,35,560,185
2017,11,0,1353,100
2017,12,0,679,51
2018,1,0,438,41
2018,2,0,188,25
2018,3,0,253,43
2018,4,17,340,125
2018,5,37,516,197
2018,6,31,793,177
2018,7,10,1223,228
2018,8,8,984,193
2018,9,43,807,195
2018,10,0,456,136
2018,11,0,395,31
2018,12,0,704,61
2019,1,0,418,31
2019,2,0,94,14
2019,3,0,195,20
2019,4,0,279,50
2019,5,26,558,160
2019,6,25,1011,135
2019,7,19,857,145
2019,8,20,1260,306
2019,9,57,1155,211
2019,10,5,504,92
2019,11,0,498,41
2019,12,0,232,14
2020,1,0,89,4
2020,2,0,152,7
2020,3,0,276,32
2020,4,0,343,74
2020,5,0,434,122
2020,6,0,647,167
2020,7,0,540,159
2020,8,0,808,239
2020,9,0,853,240
2020,10,10,906,205
2020,11,0,759,56
2020,12,0,936,51
2021,1,0,316,12
2021,2,0,114,17
2021,3,0,200,32
2021,4,0,405,171
2021,5,0,508,130
2021,6,0,838,138
2021,7,44,965,232
2021,8,0,934,201
2021,9,1,1099,317
2021,10,0,959,217
2021,11,0,1083,96
2021,12,0,480,25
2022,1,0,109,17
2022,2,0,536,83
2022,3,0,370,95
2022,4,0,495,105
2022,5,56,701,240
2022,6,12,401,143
2022,7,50,1469,249